player,ipl_team,country
DT Patil,Royal Challengers Bangalore,India
A Kumble,Royal Challengers Bangalore,India
S Anirudha,Chennai Super Kings,India
MM Patel,Rajasthan Royals,India
CK Kapugedera,Chennai Super Kings,Sri Lanka
A Chopra,Kolkata Knight Riders,India
T Taibu,Kolkata Knight Riders,Zimbabwe
J Arunkumar,Royal Challengers Bangalore,India
DB Ravi Teja,Deccan Chargers,India
PP Ojha,Deccan Chargers,India
U Kaul,Punjab Kings,India
TM Dilshan,Delhi Capitals,Sri Lanka
A Mishra,Delhi Capitals,India
AD Mascarenhas,Rajasthan Royals,England
NK Patel,Rajasthan Royals,India
LA Pomersbach,Punjab Kings,Australia
Iqbal Abdulla,Kolkata Knight Riders,India
SR Tendulkar,Mumbai Indians,India
PM Sarvesh Kumar,Deccan Chargers,India
DP Vijaykumar,Deccan Chargers,India
Shoaib Akhtar,Kolkata Knight Riders,Pakistan
Abdur Razzak,Royal Challengers Bangalore,Bangladesh
LPC Silva,Deccan Chargers,Sri Lanka
H Das,Deccan Chargers,India
SP Goswami,Royal Challengers Bangalore,India
DR Smith,Mumbai Indians,West Indies
SD Chitnis,Mumbai Indians,India
CRD Fernando,Mumbai Indians,Sri Lanka
VS Yeligati,Mumbai Indians,India
L Balaji,Chennai Super Kings,India
A Mukund,Chennai Super Kings,India
Younis Khan,Rajasthan Royals,Pakistan
RR Powar,Punjab Kings,India
S Dhawan,Mumbai Indians,India
JP Duminy,Mumbai Indians,South Africa
Z Khan,Mumbai Indians,India
A Flintoff,Chennai Super Kings,England
T Thushara,Chennai Super Kings,Sri Lanka
JD Ryder,Royal Challengers Bangalore,New Zealand
KP Pietersen,Royal Challengers Bangalore,England
RV Uthappa,Royal Challengers Bangalore,India
T Henderson,Rajasthan Royals,South Africa
Kamran Khan,Rajasthan Royals,India
RS Bopara,Punjab Kings,England
CH Gayle,Kolkata Knight Riders,West Indies
MC Henriques,Kolkata Knight Riders,Australia
R Bishnoi,Royal Challengers Bangalore,India
T Kohli,Punjab Kings,India
FH Edwards,Deccan Chargers,West Indies
KV Sharma,Royal Challengers Bangalore,India
PC Valthaty,Rajasthan Royals,India
RJ Quiney,Rajasthan Royals,Australia
AS Raut,Rajasthan Royals,India
SB Bangar,Kolkata Knight Riders,India
Yashpal Singh,Kolkata Knight Riders,India
Pankaj Singh,Royal Challengers Bangalore,India
DR Smith,Deccan Chargers,West Indies
M Manhas,Delhi Capitals,India
AA Bilakhia,Deccan Chargers,India
AN Ghosh,Kolkata Knight Riders,India
BAW Mendis,Kolkata Knight Riders,Sri Lanka
DL Vettori,Delhi Capitals,New Zealand
MN van Wyk,Kolkata Knight Riders,South Africa
RE van der Merwe,Royal Challengers Bangalore,Netherlands
RE van der Merwe,Royal Challengers Bangalore,South Africa
MK Pandey,Royal Challengers Bangalore,India
TL Suman,Deccan Chargers,India
Shoaib Ahmed,Deccan Chargers,India
GR Napier,Mumbai Indians,India
KP Appanna,Royal Challengers Bangalore,India
LA Carseldine,Rajasthan Royals,India
NV Ojha,Rajasthan Royals,India
SM Harwood,Rajasthan Royals,Australia
M Vijay,Chennai Super Kings,India
SB Jakati,Chennai Super Kings,India
DA Warner,Delhi Capitals,Australia
RJ Harris,Deccan Chargers,Australia
D du Preez,Royal Challengers Bangalore,India
M Morkel,Rajasthan Royals,South Africa
AD Mathews,Kolkata Knight Riders,Sri Lanka
SD Chitnis,Rajasthan Royals,India
J Botha,Rajasthan Royals,South Africa
C Nanda,Mumbai Indians,India
SL Malinga,Mumbai Indians,Sri Lanka
A Nehra,Delhi Capitals,India
Mashrafe Mortaza,Kolkata Knight Riders,Bangladesh
A Singh,Rajasthan Royals,India
GJ Bailey,Chennai Super Kings,Australia
AB McDonald,Delhi Capitals,Australia
Y Nagar,Delhi Capitals,India
SS Shaikh,Kolkata Knight Riders,India
R Ashwin,Chennai Super Kings,India
Mohammad Ashraful,Mumbai Indians,Bangladesh
MK Tiwary,Kolkata Knight Riders,India
CA Pujara,Kolkata Knight Riders,India
OA Shah,Kolkata Knight Riders,England
Anirudh Singh,Deccan Chargers,India
Jaskaran Singh,Deccan Chargers,India
AP Tare,Mumbai Indians,India
AT Rayudu,Mumbai Indians,India
R Sathish,Mumbai Indians,India
R McLaren,Mumbai Indians,South Africa
AA Jhunjhunwala,Rajasthan Royals,India
P Dogra,Rajasthan Royals,India
A Uniyal,Rajasthan Royals,India
MS Bisla,Punjab Kings,India
M Kaif,Punjab Kings,India
YA Abdulla,Punjab Kings,South Africa
EJG Morgan,Royal Challengers Bangalore,England
EJG Morgan,Royal Challengers Bangalore,Ireland
JM Kemp,Chennai Super Kings,South Africa
S Tyagi,Chennai Super Kings,India
RS Gavaskar,Kolkata Knight Riders,India
SE Bond,Kolkata Knight Riders,New Zealand
KA Pollard,Mumbai Indians,West Indies
S Ladda,Delhi Capitals,India
DP Nannes,Delhi Capitals,Netherlands
DP Nannes,Delhi Capitals,Australia
MJ Lumb,Rajasthan Royals,England
DR Martyn,Rajasthan Royals,Australia
S Narwal,Rajasthan Royals,India
AB Barath,Punjab Kings,West Indies
Bipul Sharma,Punjab Kings,India
FY Fazal,Rajasthan Royals,India
AC Voges,Rajasthan Royals,Australia
MD Mishra,Deccan Chargers,India
MC Henriques,Delhi Capitals,Australia
UT Yadav,Delhi Capitals,India
J Theron,Punjab Kings,South Africa
SJ Srivastava,Punjab Kings,India
KM Jadhav,Delhi Capitals,India
R Sharma,Deccan Chargers,India
R Sharma,Mumbai Indians, India
Mandeep Singh,Kolkata Knight Riders,India
SW Tait,Rajasthan Royals,Australia
KB Arun Karthik,Chennai Super Kings,India
KAJ Roach,Deccan Chargers,West Indies
PD Collingwood,Delhi Capitals,England
CK Langeveldt,Kolkata Knight Riders,South Africa
VS Malik,Punjab Kings,India
A Mithun,Royal Challengers Bangalore,India
AP Dole,Rajasthan Royals,India
AN Ahmed,Mumbai Indians,India
RS Sodhi,Punjab Kings,India
DE Bollinger,Chennai Super Kings,Australia
S Sriram,Royal Challengers Bangalore,India
B Sumanth,Deccan Chargers,India
C Madan,Mumbai Indians,India
AG Paunikar,Rajasthan Royals,India
MR Marsh,Deccan Chargers,Australia
AJ Finch,Rajasthan Royals,Australia
STR Binny,Mumbai Indians,India
Harmeet Singh,Deccan Chargers,India
SB Styris,Chennai Super Kings,New Zealand
MS Bisla,Kolkata Knight Riders,India
JH Kallis,Kolkata Knight Riders,South Africa
YK Pathan,Kolkata Knight Riders,India
EJG Morgan,Kolkata Knight Riders,England
EJG Morgan,Kolkata Knight Riders,Ireland
G Gambhir,Kolkata Knight Riders,India
R Bhatia,Kolkata Knight Riders,India
S Dhawan,Deccan Chargers,India
IR Jaggi,Deccan Chargers,India
KC Sangakkara,Deccan Chargers,Sri Lanka
B Chipli,Deccan Chargers,India
JP Duminy,Deccan Chargers,South Africa
DT Christian,Deccan Chargers,Australia
DW Steyn,Deccan Chargers,South Africa
A Mishra,Deccan Chargers,India
I Sharma,Deccan Chargers,India
R Dravid,Rajasthan Royals,India
LRPL Taylor,Rajasthan Royals,New Zealand
BB McCullum,Kochi Tuskers Kerala,New Zealand
VVS Laxman,Kochi Tuskers Kerala,India
DPMD Jayawardene,Kochi Tuskers Kerala,Sri Lanka
BJ Hodge,Kochi Tuskers Kerala,Australia
RA Jadeja,Kochi Tuskers Kerala,India
RV Gomez,Kochi Tuskers Kerala,India
PA Patel,Kochi Tuskers Kerala,India
MA Agarwal,Royal Challengers Bangalore,India
TM Dilshan,Royal Challengers Bangalore,Sri Lanka
AB de Villiers,Royal Challengers Bangalore,South Africa
SS Tiwary,Royal Challengers Bangalore,India
AUK Pathan,Royal Challengers Bangalore,India
UBT Chand,Delhi Capitals,India
AJ Finch,Delhi Capitals,Australia
NV Ojha,Delhi Capitals,India
Y Venugopal Rao,Delhi Capitals,India
IK Pathan,Delhi Capitals,India
RE van der Merwe,Delhi Capitals,Netherlands
RE van der Merwe,Delhi Capitals,South Africa
M Morkel,Delhi Capitals,South Africa
AB Dinda,Delhi Capitals,India
DJ Jacobs,Mumbai Indians,India
RG Sharma,Mumbai Indians,India
AC Gilchrist,Punjab Kings,Australia
PC Valthaty,Punjab Kings,India
KD Karthik,Punjab Kings,India
AM Nayar,Punjab Kings,India
Sunny Singh,Punjab Kings,India
R McLaren,Punjab Kings,South Africa
P Kumar,Punjab Kings,India
NJ Rimmington,Punjab Kings,India
GC Smith,Rising Pune Supergiants,South Africa
M Manhas,Rising Pune Supergiants,India
JD Ryder,Rising Pune Supergiants,New Zealand
RV Uthappa,Rising Pune Supergiants,India
Yuvraj Singh,Rising Pune Supergiants,India
AL Menaria,Rajasthan Royals,India
AM Rahane,Rajasthan Royals,India
R Vinay Kumar,Kochi Tuskers Kerala,India
S Sreesanth,Kochi Tuskers Kerala,India
RP Singh,Kochi Tuskers Kerala,India
MD Mishra,Rising Pune Supergiants,India
WD Parnell,Rising Pune Supergiants,South Africa
R Sharma,Rising Pune Supergiants,India
S Sohal,Deccan Chargers,India
CA Pujara,Royal Challengers Bangalore,India
JJ van der Wath,Royal Challengers Bangalore,South Africa
R Ninan,Royal Challengers Bangalore,India
DL Vettori,Royal Challengers Bangalore,New Zealand
S Aravind,Royal Challengers Bangalore,India
MS Gony,Deccan Chargers,India
MS Wade,Delhi Capitals,Australia
JR Hopes,Delhi Capitals,Australia
CL White,Deccan Chargers,Australia
TD Paine,Rising Pune Supergiants,Australia
M Kartik,Rising Pune Supergiants,India
SB Wagh,Rising Pune Supergiants,India
AC Thomas,Rising Pune Supergiants,India
JEC Franklin,Mumbai Indians,New Zealand
A Symonds,Mumbai Indians,Australia
KM Jadhav,Kochi Tuskers Kerala,India
RR Powar,Kochi Tuskers Kerala,India
Shakib Al Hasan,Kolkata Knight Riders,Bangladesh
B Lee,Kolkata Knight Riders,Australia
L Balaji,Kolkata Knight Riders,India
STR Binny,Rajasthan Royals,India
DH Yagnik,Rajasthan Royals,India
S Randiv,Chennai Super Kings,Sri Lanka
BJ Haddin,Kolkata Knight Riders,Australia
CH Gayle,Royal Challengers Bangalore,West Indies
DJ Hussey,Punjab Kings,Australia
RJ Harris,Punjab Kings,Australia
NLTC Perera,Kochi Tuskers Kerala,Sri Lanka
M Muralitharan,Kochi Tuskers Kerala,Sri Lanka
MK Pandey,Rising Pune Supergiants,India
NL McCullum,Rising Pune Supergiants,New Zealand
JE Taylor,Rising Pune Supergiants,West Indies
J Syed Mohammad,Royal Challengers Bangalore,India
MR Marsh,Rising Pune Supergiants,Australia
SP Goswami,Kolkata Knight Riders,India
RN ten Doeschate,Kolkata Knight Riders,Netherlands
TR Birt,Delhi Capitals,Australia
AG Murtaza,Mumbai Indians,India
M Kaif,Royal Challengers Bangalore,India
Harpreet Singh,Rising Pune Supergiants,India
M Klinger,Kochi Tuskers Kerala,Australia
B Akhil,Kochi Tuskers Kerala,India
AC Blizzard,Mumbai Indians,India
TL Suman,Mumbai Indians,India
AA Jhunjhunwala,Rising Pune Supergiants,India
MV Boucher,Kolkata Knight Riders,South Africa
I Malhotra,Deccan Chargers,India
L Ablish,Punjab Kings,India
CA Ingram,Delhi Capitals,South Africa
AB Agarkar,Delhi Capitals,India
S Nadeem,Delhi Capitals,India
P Parameswaran,Kochi Tuskers Kerala,India
Mandeep Singh,Punjab Kings,India
SD Chitnis,Punjab Kings,India
CJ Ferguson,Rising Pune Supergiants,Australia
SC Ganguly,Rising Pune Supergiants,India
MM Patel,Mumbai Indians,India
OA Shah,Kochi Tuskers Kerala,England
LA Pomersbach,Royal Challengers Bangalore,Australia
KB Arun Karthik,Royal Challengers Bangalore,India
MJ Lumb,Deccan Chargers,England
S Sriram,Delhi Capitals,India
VR Aaron,Delhi Capitals,India
PR Shah,Rajasthan Royals,India
JDP Oram,Rajasthan Royals,New Zealand
AA Chavan,Rajasthan Royals,India
ND Doshi,Rajasthan Royals,India
B Kumar,Rising Pune Supergiants,India
CK Langeveldt,Royal Challengers Bangalore,South Africa
WP Saha,Chennai Super Kings,India
Y Gnaneswara Rao,Kochi Tuskers Kerala,India
S Rana,Rising Pune Supergiants,India
BA Bhatt,Punjab Kings,India
DJ Bravo,Chennai Super Kings,West Indies
F du Plessis,Chennai Super Kings,South Africa
RA Jadeja,Chennai Super Kings,India
RE Levi,Mumbai Indians,South Africa
GJ Maxwell,Delhi Capitals,Australia
SPD Smith,Rising Pune Supergiants,Australia
MN Samuels,Rising Pune Supergiants,West Indies
KD Karthik,Mumbai Indians,India
SA Yadav,Mumbai Indians,India
PP Ojha,Mumbai Indians,India
BJ Hodge,Rajasthan Royals,Australia
OA Shah,Rajasthan Royals,England
KK Cooper,Rajasthan Royals,India
JP Faulkner,Punjab Kings,Australia
Harmeet Singh,Punjab Kings,India
AB McDonald,Royal Challengers Bangalore,Australia
HV Patel,Royal Challengers Bangalore,India
DAJ Bracewell,Delhi Capitals,New Zealand
DJ Harris,Deccan Chargers,India
PA Patel,Deccan Chargers,India
Ankit Sharma,Deccan Chargers,India
SP Goswami,Rajasthan Royals,India
SP Narine,Kolkata Knight Riders,West Indies
AD Mascarenhas,Punjab Kings,England
KP Pietersen,Delhi Capitals,England
DPMD Jayawardene,Delhi Capitals,Sri Lanka
GB Hogg,Rajasthan Royals,Australia
RR Bhatkal,Royal Challengers Bangalore,India
AD Mathews,Rising Pune Supergiants,Sri Lanka
A Nehra,Rising Pune Supergiants,India
AB Dinda,Rising Pune Supergiants,India
P Dogra,Punjab Kings,India
M Muralitharan,Royal Challengers Bangalore,Sri Lanka
CJ McKay,Mumbai Indians,Australia
RP Singh,Mumbai Indians,India
LRPL Taylor,Delhi Capitals,New Zealand
AA Jhunjhunwala,Deccan Chargers,India
N Saini,Punjab Kings,India
DA Miller,Punjab Kings,South Africa
Azhar Mahmood,Punjab Kings,Pakistan
P Negi,Delhi Capitals,India
NLTC Perera,Mumbai Indians,Sri Lanka
RJ Peterson,Mumbai Indians,South Africa
KMDN Kulasekara,Chennai Super Kings,Sri Lanka
A Ashish Reddy,Deccan Chargers,India
V Pratap Singh,Deccan Chargers,India
BB Samantray,Deccan Chargers,India
MJ Clarke,Rising Pune Supergiants,Australia
Gurkeerat Singh,Punjab Kings,India
AP Majumdar,Rising Pune Supergiants,India
PA Reddy,Deccan Chargers,India
J Theron,Deccan Chargers,South Africa
K Upadhyay,Rising Pune Supergiants,India
HH Gibbs,Mumbai Indians,South Africa
P Awana,Punjab Kings,India
AD Russell,Delhi Capitals,West Indies
A Chandila,Rajasthan Royals,India
CA Lynn,Deccan Chargers,Australia
AG Murtaza,Rising Pune Supergiants,India
P Parameswaran,Royal Challengers Bangalore,India
Sunny Gupta,Delhi Capitals,India
MC Juneja,Delhi Capitals,India
J Botha,Delhi Capitals,South Africa
DT Christian,Royal Challengers Bangalore,Australia
KK Nair,Royal Challengers Bangalore,India
RT Ponting,Mumbai Indians,Australia
PA Reddy,Sunrisers Hyderabad,India
PA Patel,Sunrisers Hyderabad,India
KC Sangakkara,Sunrisers Hyderabad,Sri Lanka
CL White,Sunrisers Hyderabad,Australia
NLTC Perera,Sunrisers Hyderabad,Sri Lanka
GH Vihari,Sunrisers Hyderabad,India
A Ashish Reddy,Sunrisers Hyderabad,India
DB Ravi Teja,Sunrisers Hyderabad,India
LRPL Taylor,Rising Pune Supergiants,New Zealand
AM Nayar,Rising Pune Supergiants,India
MDKJ Perera,Rajasthan Royals,Sri Lanka
R Shukla,Rajasthan Royals,India
B Laughlin,Chennai Super Kings,Australia
AS Rajpoot,Chennai Super Kings,India
TL Suman,Rising Pune Supergiants,India
M Vohra,Punjab Kings,India
MC Henriques,Royal Challengers Bangalore,Australia
M Kartik,Royal Challengers Bangalore,India
JD Unadkat,Royal Challengers Bangalore,India
DW Steyn,Sunrisers Hyderabad,South Africa
S Sreesanth,Rajasthan Royals,India
Mohammed Shami,Kolkata Knight Riders,India
BMAJ Mendis,Delhi Capitals,Sri Lanka
BB Samantray,Sunrisers Hyderabad,India
R Sathish,Punjab Kings,India
R McLaren,Kolkata Knight Riders,South Africa
PJ Sangwan,Kolkata Knight Riders,India
JP Faulkner,Rajasthan Royals,Australia
AJ Finch,Rising Pune Supergiants,Australia
A Mishra,Sunrisers Hyderabad,India
R Rampaul,Royal Challengers Bangalore,West Indies
CH Morris,Chennai Super Kings,South Africa
KV Sharma,Sunrisers Hyderabad,India
SV Samson,Rajasthan Royals,India
MS Gony,Punjab Kings,India
SMSM Senanayake,Kolkata Knight Riders,Sri Lanka
BJ Rohrer,Delhi Capitals,Australia
KL Rahul,Royal Challengers Bangalore,India
Q de Kock,Sunrisers Hyderabad,South Africa
R Dhawan,Mumbai Indians,India
MG Johnson,Mumbai Indians,Australia
LJ Wright,Rising Pune Supergiants,England
IC Pandey,Rising Pune Supergiants,India
S Dhawan,Sunrisers Hyderabad,India
X Thalaivan Sargunam,Sunrisers Hyderabad,India
DJG Sammy,Sunrisers Hyderabad,West Indies
A Mukund,Royal Challengers Bangalore,India
KW Richardson,Rising Pune Supergiants,Australia
S Narwal,Kolkata Knight Riders,India
BAW Mendis,Rising Pune Supergiants,Sri Lanka
MM Sharma,Chennai Super Kings,India
CM Gautam,Delhi Capitals,India
UA Birla,Rising Pune Supergiants,India
M Rawat,Rising Pune Supergiants,India
Parvez Rasool,Rising Pune Supergiants,India
GJ Maxwell,Mumbai Indians,Australia
Sandeep Sharma,Punjab Kings,India
S Kaul,Delhi Capitals,India
Sachin Baby,Rajasthan Royals,India
PV Tambe,Rajasthan Royals,India
NM Coulter-Nile,Mumbai Indians,Australia
RV Gomez,Rising Pune Supergiants,India
B Chipli,Delhi Capitals,India
P Dogra,Kolkata Knight Riders,India
MK Pandey,Kolkata Knight Riders,India
RV Uthappa,Kolkata Knight Riders,India
SA Yadav,Kolkata Knight Riders,India
MEK Hussey,Mumbai Indians,Australia
CJ Anderson,Mumbai Indians,New Zealand
CM Gautam,Mumbai Indians,India
MA Agarwal,Delhi Capitals,India
M Vijay,Delhi Capitals,India
JP Duminy,Delhi Capitals,South Africa
PA Patel,Royal Challengers Bangalore,India
NJ Maddinson,Royal Challengers Bangalore,Australia
Yuvraj Singh,Royal Challengers Bangalore,India
DR Smith,Chennai Super Kings,West Indies
BB McCullum,Chennai Super Kings,New Zealand
CA Pujara,Punjab Kings,India
V Sehwag,Punjab Kings,India
GJ Maxwell,Punjab Kings,Australia
AR Patel,Punjab Kings,India
GJ Bailey,Punjab Kings,Australia
AJ Finch,Sunrisers Hyderabad,Australia
DA Warner,Sunrisers Hyderabad,Australia
KL Rahul,Sunrisers Hyderabad,India
Y Venugopal Rao,Sunrisers Hyderabad,India
AM Nayar,Rajasthan Royals,India
R Bhatia,Rajasthan Royals,India
JJ Bumrah,Mumbai Indians,India
JDS Neesham,Delhi Capitals,New Zealand
SPD Smith,Rajasthan Royals,Australia
WP Saha,Punjab Kings,India
M Manhas,Chennai Super Kings,India
Mohammed Shami,Delhi Capitals,India
JD Unadkat,Delhi Capitals,India
MG Johnson,Punjab Kings,Australia
IK Pathan,Sunrisers Hyderabad,India
B Kumar,Sunrisers Hyderabad,India
TG Southee,Rajasthan Royals,New Zealand
DS Kulkarni,Rajasthan Royals,India
CA Lynn,Kolkata Knight Riders,Australia
R Vinay Kumar,Kolkata Knight Riders,India
YV Takawale,Royal Challengers Bangalore,India
JA Morkel,Royal Challengers Bangalore,South Africa
Q de Kock,Delhi Capitals,South Africa
S Rana,Royal Challengers Bangalore,India
MA Starc,Royal Challengers Bangalore,Australia
AB Dinda,Royal Challengers Bangalore,India
KK Nair,Rajasthan Royals,India
R Dhawan,Punjab Kings,India
L Balaji,Punjab Kings,India
PP Chawla,Kolkata Knight Riders,India
UT Yadav,Kolkata Knight Riders,India
M Morkel,Kolkata Knight Riders,South Africa
VR Aaron,Royal Challengers Bangalore,India
NV Ojha,Sunrisers Hyderabad,India
BR Dunk,Mumbai Indians,Australia
AD Russell,Kolkata Knight Riders,West Indies
RR Rossouw,Royal Challengers Bangalore,South Africa
LR Shukla,Delhi Capitals,India
MC Henriques,Sunrisers Hyderabad,Australia
KW Richardson,Rajasthan Royals,Australia
Shivam Sharma,Punjab Kings,India
YS Chahal,Royal Challengers Bangalore,India
R Shukla,Delhi Capitals,India
LMP Simmons,Mumbai Indians,West Indies
VH Zol,Royal Challengers Bangalore,India
Ankit Sharma,Rajasthan Royals,India
BCJ Cutting,Rajasthan Royals,Australia
Imran Tahir,Delhi Capitals,South Africa
DJ Hussey,Chennai Super Kings,Australia
AN Ahmed,Royal Challengers Bangalore,India
UBT Chand,Rajasthan Royals,India
WD Parnell,Delhi Capitals,South Africa
BE Hendricks,Punjab Kings,South Africa
S Gopal,Mumbai Indians,India
M de Lange,Mumbai Indians,South Africa
R Tewatia,Rajasthan Royals,India
VS Malik,Rajasthan Royals,India
S Anirudha,Sunrisers Hyderabad,India
JO Holder,Sunrisers Hyderabad,West Indies
Karanveer Singh,Punjab Kings,India
P Kumar,Mumbai Indians,India
AJ Finch,Mumbai Indians,Australia
JA Morkel,Delhi Capitals,South Africa
SS Iyer,Delhi Capitals,India
Yuvraj Singh,Delhi Capitals,India
NM Coulter-Nile,Delhi Capitals,Australia
DJ Hooda,Rajasthan Royals,India
CH Morris,Rajasthan Royals,South Africa
M Vijay,Punjab Kings,India
Anureet Singh,Punjab Kings,India
RS Bopara,Sunrisers Hyderabad,England
KS Williamson,Sunrisers Hyderabad,New Zealand
Parvez Rasool,Sunrisers Hyderabad,India
KD Karthik,Royal Challengers Bangalore,India
Mandeep Singh,Royal Challengers Bangalore,India
DJG Sammy,Royal Challengers Bangalore,West Indies
SA Abbott,Royal Challengers Bangalore,Australia
AD Mathews,Delhi Capitals,Sri Lanka
J Suchith,Mumbai Indians,India
PA Patel,Mumbai Indians,India
UBT Chand,Mumbai Indians,India
EJG Morgan,Sunrisers Hyderabad,England
EJG Morgan,Sunrisers Hyderabad,Ireland
R Vinay Kumar,Mumbai Indians,India
P Kumar,Sunrisers Hyderabad,India
NLTC Perera,Punjab Kings,Sri Lanka
HH Pandya,Mumbai Indians,India
MS Bisla,Royal Challengers Bangalore,India
D Wiese,Royal Challengers Bangalore,South Africa
D Wiese,Royal Challengers Bangalore,Namibia
Iqbal Abdulla,Royal Challengers Bangalore,India
A Nehra,Chennai Super Kings,India
SN Khan,Royal Challengers Bangalore,India
MJ McClenaghan,Mumbai Indians,New Zealand
DJ Muthuswami,Delhi Capitals,India
PJ Cummins,Kolkata Knight Riders,Australia
GB Hogg,Kolkata Knight Riders,Australia
P Negi,Chennai Super Kings,India
RG More,Chennai Super Kings,India
SN Thakur,Punjab Kings,India
SS Tiwary,Delhi Capitals,India
